id,tweet
42,"yup, being a knicks fan is hard, so its easier to just be an nba fan when the playoffs roll around ?ø?????? "
43,there is life after social networking. embrace each day. be   
44,my mom shares the same bihday as @user   bihday snake! see you this weekend ?ø???????ø????¬
45,lovely echeveria blooms#flowers #grow #gardening #iphonesia #bliss #blooms #basilicabotanica   
46,i am amazing. #i_am #positive #affirmation     
47,#model   i love u take with u all the time in ur?ø?????ñ!!! ?ø???????ø???????ø???????ø???????ø???????ø???????ø??????  
48,#whenever im   and #something goes #wrong  |  
49,feeling blue #illustration   
50,the best pa about life is knowing who you are! ?ø???????›??????????ø?????¬?ø?????¯  ?›???? 
51,#abc2020 getting ready 2 remove the victums frm #pulseclub #prayfororlando  
52,for her #bihday we got her a #nose #job @user  ?ø???????ø??????ø???????ø???????ø?????    #bihday #petunia we love you ?ø?????Ÿ 
53,off to concelebrate at the #albanpilgrimage for the first time.   @user
54, @user let the scum-baggery begin..... 
55,"thank you! ?ø??????ø?????? super love it! ?›???????? zpamdelacruz   #wedding# @ dolores, capas tarlac. "
56,a scourge on those playing baroque pieces on piano    beyond belief 
58," happy father?›????s day, mr. rayos #video   #fathers #day #rayos #world #hotvideo #videos"
59, @user ascot times with this babe ?›?????????›???????? #ascot #fashion #monochrome #style   #instahappyday 
60,the weekend..is here!!?ø???????ø???????ø???????ø???????ø?????? #selfie   #yolo #xoxo #like4like 
61,happy at work conference: right' mindset leads to culture-of-development organizations    #work #mindset
62,christina grimmie's  last performance before being shot...  via @user #christinarip #voice #christinagrimmie  
63,we are ready to dance #roar #preschoolers   #students #proud?›???? 
64,you've really hu my feelings :(  
65,@user my wife whom i adore had to miss your poland show because she had surgery. her name is bridget &amp; she's my everything.  
66,@user i am so jealous of you right now.... #chatiado  
67,i celebrate every man that has played it's fatherly role.   father's day#
68,i'm sure they are just as happy.... ?ø??????ø????«?ø??????ø????«?ø??????ø????«   hour  
70,good morning! the journey begins! ?ø???????ø??????ø????¯?ø??????   #travel #yeah #thejourneybegins #hello?›???? 
71, @user # if you #luv #hottweets like this from ?›???? ?›???#venusexchange?›??? 
72,our new brochures have arrived! how exciting!! #aworks #solutions   
73,so much stuff happening in florida! first #orlando shooting and now #disneygatorattack on a two year old kid?ø??????ø?????  
74,"@user ferrari will do it?ø?????¦?ø????¬ for the sake of the championship. this gp is clearly a turning point rb, ferrari,mercs...?ø?????  "
75,aced my first test!   #proud 
76,"  seeks probe into #udtapunjab' leak, points finger at #amarinder, #aap  "
77,@user wrapping up #senseaboutmaths @user 6th   @user @user @user 
79,@user @user you might be. just have not shown here today. regurgitated talking points and name calling?  
80,sometimes you have to raise a few brows to raise the bar. #golfstrengthandconditioning   #strong #felixfoisgolf
81,  about that ?ø???????ø???????ø?????? #greathonour #careerconvos @user @user 
82, @user designing #innovative learning space @user to include #wateringhole #cave #mountaintop #campfire @user   h?›????
84,carrying a gun wouldn't of helped if you can't take it in with you. gun control won't stop the black market! terrorism will get worse!  
85,use the power of your mind to #heal your body!! -     #altwaystoheal #healthy   #peace! 
86,woohoo!! just over 5 weeks to go!   
87,being in a far away place where you have no family members hus  
88,"ready to rehearse tonight with new music and new videos, look out for the announcement! #midweek #newmusic #watchthisspace #guitar  "
89,now on monday nights at 8pm on #up channel!!!! i finally get to see what all the fuss is about!!!   
90,watching the new episodes of @user on @user  
91, @user offline now after a very nice and long night.. ?ø?????? #snapchat @user   #redhead #vermillionred 
92, 15 things incredibly   #people do 
93,yes! received my acceptance letter for my masters so will be back at @user again in october!    #goodtimes #history
94,"daughter riding her bike around driveway, son playing his guitar for us while we enjoy ?ø????§ by the campfire... #summeime   #memories"
95,omg!!! loving this station!!! way to jam out at work!!! while getting work done of course!!!!   #memories @user 
96,"@user i'll always hope that one day i'll get to hug you, but i don't think that it's gonna happen anytime soon... "
97,#model   i love u take with u all the time in ur?ø?????ñ!!! ?ø???????ø???????ø???????ø???????ø???????ø???????ø??????  
98,  couple having sex fat naked japanese girls  
99,"#hump on that    #hump day #humpers?ø?????? @ edwardsville, pennsylvania "
100,personalised we... gbp 7.99 get here:  #shop #cool   #home #fun 
101,there are some truly sick ppl out there.   
102,"trump calling on obama to resign over the orlando shootings? the boy has a point. 8 years and all he did was ""talk"" about change.  "
103,@user @user @user @user not long now!!!   #nashvilletour2016 #nashvilleforever ?ø???????ø???????ø?????? 
104," ?›??? #eur/usd clears 1.1400 barrier, jumps to fresh 4-week high   #blog #silver #gold #forex"
105,going to la tomorrow!!!  
106,i am thankful for good friends. #thankful #positive     
107,i still can not wrap my head around the fact that #christinagrimmie is gone. and the fact that a man destroyed #prayfororlando just  
108,just received dis from @user can't wait to sta baking #eyelids .?ø???????ø???????ø???????ø???????ø???????ø??????   ?ø???????ø???????ø???????›???? 
109,we were so   to be playing for #vigilfororlando #harp #clonakilty #rip  via @user
110, @user yes yes yes   #ihavenofriends #someonecomewithme 
111,sunday...?ø?????? #weekend #relax #icon #woman #sundaymorning #sunday   #marilynmonroe 
113,"one of my beloved long lost cds, now recovered thanks to apple music.  !  "
114,#marvel #song #musica #weed #ripchristina #adele   #dance (vine by @user 
116, ?›??? #under the spell of brexit referendum - commerzbank   #blog #silver #gold #forex
117,100 amazing health benefits of cucumbers!    #healthy is  !!  #altwaystoheal! 
118,#model   i love u take with u all the time in ur?ø?????ñ!!! ?ø???????ø???????ø???????ø???????ø???????ø???????ø??????  
119,off to work ?ø?????¦?ø????¯?ø???????ø????¬ #ofw #pinoy #followme #igers #instagood #smile   #love # 
120,#toradora #anime #animeedit i made it.   #breakups #alone #lonely 
121,"50 laps of pool, 10k ride done and picked up a gym membership form  "
122,"#cotd   polar bear climb racing: angry polar bear climb racing, the polar bear living in cold places looking "
123, @user @user gets him angry.  a muslim assassinating 50 not so much.    
124,happy snappy ?ø???????ø????¬ waiting for the football   #football #snapchat 
125,friday i miss you!!   #fringes#qcbags#summer ?ø???????ø???????ø???????ø???????ø???????ø???????????????ø????¯ 
126,#nochebuena   #lasvegas #usa @ las vegas strip 
127,ma fleurette ?ø???????ø?????? #instaboy#instaman#sefie#septum#friend #smiles#blackandwhite 
128,sad in the branches it?›????s just rainy day writing tears are flying birds   #haiku #3lines #micropoetry  
129,yeah! new buttons in the mail for me ?ø??????  they are so pretty! :) #jewelrymaking #buttons   
130, @user driver hit female moose on river rd #weston.  moose was killed. driver is ok. crews removing animal now  
131,afterpas.   made in japan. ???¬?Ÿmadeinjapan  #eos  ???¬?Ÿcute #fun #cawaii #love   #strawberry #tomato 
133,i need to find a way to spend my time so you are not always on my mind. . .  #me #boy #guy  ?›???? 
134,[1466047260.15] update @  #social #analytics   #photooftheday #igers #likes 
135,anyone know the date our #doj and #fbi became corrupted? #emailgate #hillary2016 #shameful #disgraceful #ridiculous  
136,#stupidity makes me more   than even #negligence.why put #sachintendulkar a installation if u were going to take it off?
137,?ø???????ø???????ø???????ø???????›?????›????????  #?œ?????œ?????œ???œ????   bihday?ø?????? #21thbihday ?ø?????? #bestfriend ?ø?????? #love?ø?????¬ 
138, @user ?ø?????? d most impoant thing is to #enjoy your life - to be   - it?›????s all that matters. life is too sho. #pooh4u 
139,happy bihday chris evans?ø???????ø???????ø???????ø??????ø???????ø???????ø?????? a great actor and human ?ø??????ø??????ø???????ø???????ø?????¯?ø???????ø???????ø???????ø?????? #chrisevans   #bihday?›???? 
140,"our heas, thoughts, prayers go out to the more than 50 people who were murdered @ a gay nightclub in #florida   "
141, @user demoing guitars for new album #newalbum #indie #guitars   #echobelly 
142,retweeted lion pro (@user  #tgif #webmareting #seo #community #management   #weekend... 
143, ?›??? #nzd/usd: targets the 100 week sma at 0.7190   #blog #silver #gold #forex
144," @user i've had pretty bad bihday weeks before, but so far this is the worst ever. ?ø?????? #bihdayweeksucks #bithday27   #t?›????"
145,so blessed to have worked with sa's best leading ladies?ø???????ø?????? 
146,happiest place on eah ?ø?????® #disneysmagickingdom #disney #magickingdom #disneyland   #orlando?›???? 
147,is kinda   to be among humans again.
148,just found out @user is at @user after i'd been exclaiming to @user how gr8 blain's hair was the other nite.   ?ø??????
149,@user &lt;3 listen to my most beautiful best friend  @user  singing with her most amazing voice &lt;3 &lt;3 &lt;3 &lt;3 17 
150,be   n #healthy freedom from effo in the present merely means that there has been effo stored up in the past. ?›???? theodore roosevelt?›????
151,when you know yall 2 aint going know where :) #love #commitment #trust #faithful  
153,#newarkfestival this is us all this year waiting for the show to sta our 3rd year running   
154,when the internet is broken so you can't watch netflix. #mochithepug #puglife   
155,@user @user @user and she will do just that....then what..business as usual.  
156,"hbd to this dick suckin tequila lovin slut, i wouldnt want u any other way ?ø???????ø??????   #justalillate #butstillontime "
158,good morning friday! what is everyone doing this weekend? #goodmorning #friday #girls   #love #florida 
159,"  challenges #aap's claim that 70% #punjabis are #drugaddicts, dares it to prove   "
160,#tracerequest sending my deepest condolences to the orlando gay families. zimbabwe gay community has you at hea   #touched
161,new selfie \????.????/  #guy   #mato #chapones 
162,saturday afternoon chi meet up #friends    @user  @user  @user 
163,#model   i love u take with u all the time in ur?ø?????ñ!!! ?ø???????ø???????ø???????ø???????ø???????ø???????ø??????  
164,soed out all my nut &amp; bolts.   #bloke
165,aww yeah it's all good bing bong bing bong   
166,just dawned on me in 2 months i will be seeing @user live. i am so excited ?ø??????ø??????ø????? #vfest #summer  
167, @user happy 35th bihday shane robe watson!!    #bihday #shane #watson #australia #cricker 
169,"sad to hear the announcers say that ""it may have moved the player to one or two out of the lead"" #whoknows!  "
170,#radio1 i'm going to #coldplay tonight   oh yes.
171,u think like this too? the god who is not coming through for me. the god who is not keeping me  . 
172,@user terrorist = constitutional rights?  this is just another excuse by republicans to appease the nra with no gun control measures. !
173, @user it's all about @user   #gloucesterrugby 
174," @user very sad, @user what happened? "
175,everyone is everything   #sad #together #alone #up #down #fine #dandy #lonely #exuberant #depressed #halffull #halfempty
176,"#mikeashley #sposdirectshame , perhapse a good example of the need to protect #workersrights from within europe. #euref   #remain"
177,angry birds stella bad princess   #birds #stella #bad #princess birdsstellabadprincess.  time post: wed?›???? 
178,"check  @user incredibly   to have made great  memories with great people , we did an ..."
179,"saw a t shi last night that said ""rip  to when i cared""   #really"
180," @user hilarious, @user i'm already blocked by @user for asking one, not paicularly difficult, question.   @user"
181,devastating news.  my hea goes out to the victims and their families.  #orlando #heabreaking   
182,"""happiness is not a state to arrive at, but a manner of traveling."" margaret lee #runbeck   #happiness #quotes #inspirational"
183,safe ways to heal your #acne!!    #altwaystoheal #healthy   #healing!! 
184,what i am creating right now. #beats #makingbeats #thursday   #work #istandard #akaipro?›???? 
185,wedding number 10! ?ø???????ø???????ø???????ø???????ø??????ø??????ø?????  #wedding #weddingpay     #love #forever #weddingdress?›???? 
186,we're looking forward to attending the  cipd ireland conference &amp; workshop   #cpd #onemoreday @user  @user
187,finally reached 200 followers on #twitch. follower hypu #stream tomorrow! ?›???  
188,"words r free, it's how u use em that can cost you! #verbal #abuse   #hu #love  #adult #teen @user "
189,"after what our country went through this last year to see people bring a ""bomb"" to the stadium &amp; come here for everything but football  "
190,i am thankful for cats. #thankful #positive      
191,time to eat with my bae swalscha ?ø??????›?????ø?????? #dejeuner #lunch   #happiness #love #amoureux?›???? 
192,ilovethesecret  #lawofattraction  #quiz #love #happiness #motivation #success   #joy #life?›???? 
194,it's about to go down... #pole #bgp #rozthediva #blackgirlspole #bodyandpole #live #love  ?›???? 
195,#argentina2015   attack bull game 3d: do you really think that his head was empty around the city. each side 
196,what a self-serving hypocrite! always keep your eye on the bouncing ball with this nimrod president.   
197,#nohcarolina   bull up: you will dominate your bull and you will direct it whatever you want it to do. whe 
198,"#building   polar bear climb racing: angry polar bear climb racing, the polar bear living in cold places loo "
199,@user @user if they want reelection money. #ksleg  
200,my hea is with #orlando right now. i truly cannot imagine. could have easily happened anywhere. :(  
201,alreemgroup #aly_alshahawy #ad #cute #summer #photographerdubai #sun   #hair #mydubai?›???? 
202,it seems like the only place with action here is montreal :(   
203," @user that, and you are old and washed up! "
204,i am spirited. #i_am #positive #affirmation     
205,i am thankful for enteainment. #thankful #positive     
206,@user @user @user this shows truly how bad brisbane are  
207,@user can't wait for #wimbledon2016  
208,happy man!!!  #success #model #entrepreneur  #speaker #ff #fresh #confident    #fashion?›???? 
209,"#gala moments ...   #day #kid #bipolar #frikiegirl2016 @ the lucky chinatown mall, binondo,?›???? "
210,this really takes the piss. i'm so angry. just goes to show who is valued and who isn't. you complete and utter moron.  
212,  fathers day to all the #amazing #dads out there that give up so much for their families! #enjoy your... 
213,does #magnettherapy really work?   #altwaystoheal #healing #healthy   !! 
214,sebbo has said it all!  @user 
215,?ø??????ø??????ø??????›???????? eg?œ???????¬?????¬?????¬?? smile!!!!!?›?????????ø?????œ?ø???????ø????« ?œ?Ÿ?¯ #smile#egsmile #torio  
216,@user brilliant service at your kettering branch today   customer
